neighbourhood_name,height_level,n
ARBUTUS-RIDGE,Low,1243
ARBUTUS-RIDGE,Medium,25
DOWNTOWN,Low,972
DOWNTOWN,Medium,17
DOWNTOWN,high,1
DUNBAR-SOUTHLANDS,Low,1953
DUNBAR-SOUTHLANDS,Medium,19
DUNBAR-SOUTHLANDS,high,2
FAIRVIEW,Low,724
FAIRVIEW,Medium,27
GRANDVIEW-WOODLAND,Low,1521
GRANDVIEW-WOODLAND,Medium,31
HASTINGS-SUNRISE,Low,2572
HASTINGS-SUNRISE,Medium,67
HASTINGS-SUNRISE,high,1
KENSINGTON-CEDAR COTTAGE,Low,2513
KENSINGTON-CEDAR COTTAGE,Medium,67
KENSINGTON-CEDAR COTTAGE,high,1
KERRISDALE,Low,1384
KERRISDALE,Medium,42
KILLARNEY,Low,1332
KILLARNEY,Medium,23
KITSILANO,Low,1228
KITSILANO,Medium,25
MARPOLE,Low,1501
MARPOLE,Medium,38
MOUNT PLEASANT,Low,1183
MOUNT PLEASANT,Medium,114
MOUNT PLEASANT,high,1
OAKRIDGE,Low,1119
OAKRIDGE,Medium,7
RENFREW-COLLINGWOOD,Low,3017
RENFREW-COLLINGWOOD,Medium,24
RILEY PARK,Low,1899
RILEY PARK,Medium,32
SHAUGHNESSY,Low,1255
SHAUGHNESSY,Medium,25
SHAUGHNESSY,high,1
SOUTH CAMBIE,Low,861
SOUTH CAMBIE,Medium,23
STRATHCONA,Low,546
STRATHCONA,Medium,7
SUNSET,Low,2459
SUNSET,Medium,33
SUNSET,high,1
VICTORIA-FRASERVIEW,Low,2101
VICTORIA-FRASERVIEW,Medium,10
WEST END,Low,536
WEST END,Medium,10
WEST POINT GREY,Low,970
WEST POINT GREY,Medium,9
